video_number,accident_frame,scene_complexity,dense_caption,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
134,,,,"Based on the visual evidence in the video, what are the prevailing weather and road surface conditions?",Weather & Light,Daytime with overcast skies and a wet road surface.,"Nighttime during a heavy downpour, causing extremely poor visibility.","A bright, sunny afternoon with a completely dry road.","Dawn with dense fog, leading to a slick, icy road surface.",Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,A multi-lane urban arterial road approaching a signalized intersection.,"A quiet, narrow residential street with low traffic volume.","A high-speed, access-controlled expressway with no pedestrians.",A rural two-lane road surrounded by open fields.,"Regarding the road layout at the point of impact, what can be observed?",Road Configuration,The collision occurs at a multi-lane urban intersection controlled by traffic signals.,"The incident takes place within a complex, multi-entry roundabout.","The collision occurs on a straight multi-lane road, away from any intersection.",The vehicles collide while one is entering a highway on-ramp.,What is the specific type of collision shown in the video?,Accident Type,A T-bone (side-impact) collision between two vehicles at an intersection.,A rear-end collision between the two vehicles.,A single-vehicle accident where the driver loses control.,A sideswipe collision between two vehicles in adjacent lanes.,"What is the primary, initiating cause of this accident?",Accident Cause,The driver of one vehicle ran a red light or failed to yield the right-of-way at the intersection.,The wet road caused a vehicle to uncontrollably skid through the intersection.,Excessive speed by both drivers prevented them from stopping at the intersection.,A mechanical brake failure caused one vehicle to be unable to stop.,Which of the following actions would have been most effective in preventing this collision?,Accident Prevention,The at-fault driver should have observed and obeyed the traffic signal before entering the intersection.,The other vehicle driver should have honked to warn vehicles approaching the intersection.,Both vehicles should have reduced speed significantly on the wet road.,The road authority should have installed better-marked lane markings.
136,35,6,,"Based on the visual evidence, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Snowy daytime with overcast skies and significant snow accumulation on the roadsides.,,,,Which of the following best describes the traffic environment and road surface conditions?,Traffic Environment,"An urban area with multi-lane roads covered in slush and melted snow, creating very slippery conditions.",,,,What is the configuration of the road where the accident occurs?,Road Configuration,A multi-lane urban arterial road with at least two lanes per direction,,,,How would you classify the sequence of events leading to the collision?,Accident Type,"A rear-end collision, the POV car hit the front car",,,,What was the most likely primary cause for the incident?,Accident Cause,A sudden turn of the front car to take passenger,,,,What would have been the most effective action to prevent this accident?,Accident Prevention,The front car driver wait for the video car to pass before starting the maneuver.,,,
142,30,8,,"Based on the visual evidence in the video, what are the prevailing weather and lighting conditions?",Weather & Light,"Daytime with an overcast sky, with wet road surfaces and good visibility.",,,,"""Which of the following best describes the environment where the accident takes place?",Traffic Environment,An urban multi-lane thoroughfare surrounded by high-rise apartment buildings.,,,,What is the configuration of the road on which the ego-vehicle is traveling?,Road Configuration,"A multi-lane T-junction, with at least three lanes in the same direction, marked by dashed lines.",,,,How can the collision shown in the video be most accurately classified?,Accident Type,"A head-on/T-bone collision, initiated by one vehicle making an abrupt cut-in maneuver in front of another.",,,,"What was the primary, direct cause of this accident?",Accident Cause,The dark car executed a sudden and unsafe left-turn without yielding the right of way.,,,,Which action would have been most effective in preventing this crash?,Accident Prevention,"Checking mirrors and blind spots, using a turn signal, and changing lanes one at a time when clear.",,,
148,,,,"Based on the visual evidence, what were the weather and road surface conditions at the time of the incident?",Weather & Light,"It was an overcast day with wet road surfaces, indicating recent or ongoing rain.","The accident occurred at night on a dry road, with visibility limited by darkness.","The incident took place during a sunny day, but glare from the sun may have obscured the driver's vision.","The scene shows heavy fog, significantly reducing visibility for all drivers.",What type of traffic environment is depicted in the video where the collision occurs?,Traffic Environment,An urban area near an intersection with traffic lights and multiple lanes of traffic.,A high-speed highway or expressway with a dedicated turning lane.,A residential street with low traffic volume and posted stop signs.,A rural two-lane road with no traffic control devices.,Which statement accurately describes the road configuration at the point of the accident?,Road Configuration,A multi-lane arterial road where the collision happens at an intersection.,A single-lane roundabout designed to manage turning traffic.,A T-junction where one road ends and meets another.,A road segment with a dedicated left-turn bay protected by a green arrow signal.,What is the specific type of collision that occurs in the video?,Accident Type,"A T-bone (or side-impact) collision, where the front of the dashcam car strikes the side of the turning SUV.","A rear-end collision, where the dashcam car hit the back of the vehicle in front.","A head-on collision, where the two vehicles struck each other front-to-front.","A sideswipe collision, where the vehicles scraped along each other's sides.",What was the primary and most direct cause of this accident?,Accident Cause,"The traffic light for the dashcam vehicle was red, and it ran the red light, causing the crash.",The driver of the silver SUV failed to yield the right-of-way to oncoming traffic while making a left turn.,"The dashcam vehicle was speeding excessively, making it impossible for the turning vehicle to judge the gap.",The wet road surface caused the dashcam vehicle to lose control and skid into the other lane.,How could this collision most effectively have been prevented by the drivers involved?,Accident Prevention,Both vehicles should have stopped and waited for the traffic light further down the road to turn green.,The dashcam vehicle driver should have honked to warn the turning vehicle.,The driver of the silver SUV should have waited for the oncoming (dashcam) vehicle to pass before initiating the left turn.,The dashcam vehicle should have moved to the right lane to avoid the conflict.
150,,,,"Based on the visual evidence, what are the prevailing weather and light conditions?",,"A) A clear, sunny day with a low sun angle causing potential glare for drivers.",B) An overcast day with flat lighting and wet roads from recent rainfall.,"C) Dawn or dusk with low ambient light, requiring headlights to be on.","D) Heavy fog and mist, significantly reducing overall visibility.",Which of the following best describes the traffic environment where the incident takes place?,,A) A multi-lane urban thoroughfare with high-rise buildings and snow piled on the roadsides.,B) A suburban residential street with parked cars and pedestrian crossings.,C) A rural two-lane highway with no buildings and sparse traffic.,D) A commercial zone with heavy congestion and frequent stops for traffic lights.,What is the configuration of the road at the location of the collision?,,"A) A wide, multi-lane road with dashed lines separating lanes of traffic moving in the same direction.","B) A two-way street separated by a solid double yellow line, prohibiting passing.",C) A complex intersection controlled by multiple traffic signals and turn lanes.,D) A freeway on-ramp where two lanes of traffic are merging into one.,What type of accident occurs in the video?,,A) A sideswipe collision caused by an improper lane change.,B) A rear-end collision where the ego-vehicle failed to brake in time.,C) A T-bone collision at an intersection due to a red-light violation.,D) A loss-of-control incident where one vehicle spun out on a slippery surface.,What is the primary and most direct cause of this collision?,,"A) The trolleybus on the right initiated an abrupt, unsignaled lane change without a safe gap.",B) The ego-vehicle was traveling at an excessive speed for the road conditions.,C) The driver of the trolleybus swerved to avoid a pedestrian suddenly stepping onto the road.,D) A sudden mechanical failure in the trolleybus caused it to veer.,What action by the driver of the trolleybus would have most effectively prevented this accident?,,"A) Checking mirrors and blind spots, using the turn signal, and ensuring a safe gap before initiating the lane change.",B) Speeding up significantly to pass the ego-vehicle before moving into the lane.,C) Staying in the right lane without attempting to change lanes.,D) Honking the horn continuously to alert the ego-vehicle of the intention to merge.
156,33,6,,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with good visibility and a dry road surface.,,,,Which of the following best describes the immediate environment where the crash happened?,Traffic Environment,A sububan area with construction site on one side,,,,What is the configuration of the road shown in the video?,Road Configuration,A two-directional straight road with high trucks on the road.,,,,What is the direct type of collision that occurs at the end of the video?,Accident Type,A rear-end collision between the ego-car and the front black car.,,,,What caused the  incident?,Accident Cause,The ego-car performed a dangerous lane change without knowing the lane ahead.,,,,Which of the following actions would have most likely prevented this accident?,Accident Prevention,Completing the overtake and merging back safely with adequate space ahead of the truck.,,,
166,30,7,,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It was a clear, sunny day with good visibility and a dry road surface.",,,,Which of the following best describes the traffic environment where the incident took place?,Traffic Environment,"A suburban arterial road with multiple lanes, low residential properties",,,,What's the road configuration when crash happened,Road Configuration,"A highway bend with a secondary road exit on the right, which is quite crowded and has low traffic on the main road. There is a railway bridge above.",,,,What is the most accurate classification of this traffic incident?,Accident Type,A severe haed-on collison.,,,,"What was the primary, initiating cause of this hazardous situation?",Accident Cause,"The opposite, dark SUV was too fast and outof control",,,,"To avoid such accident, what should one of the drivers do?",Accident Prevention,"The SUV should slow down in bend area, ensure the vehicle is in good condition before driving",,,
167,30,7,,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Dusk/dawn with good visibility and a dry road surface."",",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane highway in suburban area,,,,What is the configuration of the road where the incident occurs?,Road Configuration,"It is a straight, one-way highway with at least three marked lanes with moderate traffic flow and a solid barrier on the left side.",,,,What type of accident is about to occur in the video?,Accident Type,A serial accident consists of a T-bone collision by the car that lost control after committing a rear-end collision.,,,,What are the primary contributing factors that led to this collision?,Accident Cause,The silver sedan changed lanes so fast and failed to brake afterward,,,,What would have been the most crucial action to prevent this accident?,Accident Prevention,The sedan should brake when changing lanes,,,
171,,,,"Based on the video, what are the prevailing weather and light conditions at the time of the accident?",Weather & Light,"Daytime, overcast, with a wet road surface.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban area with multi-story buildings and trees lining the road.,,,,What is the configuration of the road where the accident occurs?,Road Configuration,"A multi-lane, two-way road without a physical median barrier.",,,,How can the accident shown in the video be classified?,Accident Type,"A loss-of-control accident where an oncoming vehicle crossed into the ego-vehicle's lane, resulting in a collision.",,,,What was the most direct cause of this accident?,Accident Cause,"The driver of the oncoming white car lost control on the wet road surface, likely due to speed inappropriate for the conditions.",,,,Which of the following actions by a driver could have most directly prevented this collision?,Accident Prevention,The driver of the white car adjusting their speed and steering inputs to account for the slippery road surface.,,,
177,30,13,,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Clear, sunny skies during daytime.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"An urban road with dense, flowing traffic.",,,,What is the configuration of the road on which the POV vehicle is traveling?,Road Configuration,A straight multi-lane mian road with clearly marked lanes.,,,,What type of collision occurs in the video?,Accident Type,A rear-end collision where the POV car hits the vehicle ahead.,,,,What was the primary contributing factor that led to this collision?,Accident Cause,The POV driver was tailgating and did not maintain a safe following distance.,,,,What is the most critical action could have taken to prevent this accident?,Accident Prevention,POV driver increases the following distance to allow for more reaction time.,,,
185,30,8,,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A busy suburban area with multiple lanes and commercial billboards.,,,,What is the configuration of the road where the accident took place?,Road Configuration,A signalized multi-lane T-junction.,,,,What type of collision occurred in the video?,Accident Type,A head-on collision between the front of both vehicles.,,,,What was the primary and direct cause of this accident?,Accident Cause,The sedan was speeding through the intersection and did not keep safe distance.,,,,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,The sedan slows down when approaching intersection.,,,
195,,,,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,Daytime with clear skies and good visibility.,"Overcast day with light rain, causing wet road surfaces.",Dusk with artificial street lighting just turning on.,"Sunny, but with significant sun glare affecting the dashcam's view.",Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane highway with moderate traffic flow.,A two-lane rural road with sparse traffic.,A heavily congested urban street during rush hour.,A construction zone with lane closures and reduced speed limits.,What is the configuration of the road where the incident takes place?,Road Configuration,A two-way road separated by a physical median.,"A one-way, multi-lane road with clear lane markings.",An intersection controlled by traffic signals.,A single-lane road with a soft shoulder for passing.,How would you classify the type of accident shown in the video?,Accident Type,A sideswipe/angle collision initiated by an abrupt lane change.,A rear-end collision where the dashcam vehicle struck a slowing vehicle ahead.,A head-on collision with a car from the opposite direction.,A loss of control incident where the dashcam vehicle spun out on its own.,What was the primary and direct cause of the collision?,Accident Cause,The silver car executed an abrupt and unsignaled lane change directly into the path of the dashcam vehicle.,The dashcam vehicle was speeding and tailgating the silver car.,An animal or debris on the road forced the silver car to swerve unexpectedly.,The driver of the dashcam vehicle was distracted and drifted out of their lane.,What is the most critical action that could have prevented this collision?,Accident Prevention,"The driver of the silver vehicle should have checked mirrors and blind spots, signaled, and then moved over safely.",The dashcam vehicle driver should have maintained a larger following distance.,The truck further ahead should have slowed down to let the silver car merge.,The dashcam vehicle driver should have anticipated the maneuver and preemptively braked.
198,30,9,,"Based on the visual evidence, what are the weather and road conditions at the time of the incident?",Weather & Light,Snowy day with overcast skies and reduced lighting.,,,,In what type of traffic environment does this incident occur?,Traffic Environment,An urban area with multiple vehicles and buildings.,,,,How can the road configuration at the accident scene be best described?,Road Configuration,"A wide, multi-lane intersection or open area with unclear or absent lane markings.",,,,Which statement accurately describes the type of collision that occurs?,Accident Type,A rear-end collision by the reversing front car and the ego-car,,,,What was the primary and direct cause of this accident?,Accident Cause,The front minivan tried to reverse when it saw the bus in the main road rushing towards.,,,,Which of the following actions would have most directly prevented this collision?,Accident Prevention,The black minivan driver should have observed before entering the intersection,,,
205,,,,"Based on the video, what were the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"Daytime with clear skies and good visibility, with bright ambient light.",Heavy rain and wet road surfaces reducing visibility.,Nighttime with poor street lighting.,Dense fog obscuring the view ahead.,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane road lined with trees.,A high-speed controlled-access highway.,A narrow rural road with no lane markings.,A busy downtown intersection with traffic lights.,What is the configuration of the road where the collision takes place?,Road Configuration,"A straight, multi-lane paved road.",A sharp curve obscuring the view ahead.,A T-junction where the truck was turning.,A steep downhill slope.,What type of collision occurs in the video?,Accident Type,A rear-end collision.,A sideswipe collision while changing lanes.,A head-on collision with an oncoming vehicle.,A single-vehicle rollover accident.,What was the most direct cause of this rear-end chain collision?,Accident Cause,"The vehicle behind the recording vehicle failed to maintain a safe following distance and rear-ended it, pushing it into the red car ahead in a chain collision.",The truck driver performed an unsafe and sudden lane change into the red car's path.,The road surface was unexpectedly slippery due to an oil spill.,"The red car suffered a sudden mechanical failure, such as brake failure.",Which of the following actions would have most effectively prevented this accident?,Accident Prevention,The vehicle behind should have maintained a sufficient safe following distance from the recording vehicle.,Honking continuously to warn the vehicles ahead.,Immediately swerving into the adjacent lane without checking for traffic.,Turning on hazard lights to warn vehicles behind.
215,30,7,,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"Dusk with rain, resulting in wet, reflective road surfaces and reduced visibility",,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,A multi-lane urban expressway or arterial road with streetlights and moderate traffic,,,,What is the configuration of the road while crashing?,Road Configuration,"A straight multi-lane, two-way expressway in moderate traffic flow, with several entrances on the right side. A yellow solid line distinguishes the fast lane on the left side.",,,,How can the collision between the silver SUV and the dark sedan be most accurately classified?,Accident Type,"A rear-end collision, where the SUV was struck by the sedan.",,,,What was the primary initiating cause of this accident?,Accident Cause,The silver SUV was incorrectly slowed down in the middle of the expressway to try to change lanes or exit,,,,What single action by one of the drivers would have been most effective in preventing this crash?,Accident Prevention,he driver of the silver SUV should have stopped or slowed down significantly to check for and yield to mainline traffic before pulling off.,,,
