video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
142,"Based on the visual evidence in the video, what are the prevailing weather and lighting conditions?",Weather & Light,"Daytime with an overcast sky, with wet road surfaces and good visibility.",,,,"""Which of the following best describes the environment where the accident takes place?",Traffic Environment,An urban multi-lane thoroughfare surrounded by high-rise apartment buildings.,,,,What is the configuration of the road on which the ego-vehicle is traveling?,Road Configuration,"A multi-lane T-junction, with at least three lanes in the same direction, marked by dashed lines.",,,,How can the collision shown in the video be most accurately classified?,Accident Type,"A head-on/T-bone collision, initiated by one vehicle making an abrupt cut-in maneuver in front of another.",,,,"What was the primary, direct cause of this accident?",Accident Cause,The dark car executed a sudden and unsafe left-turn without yielding the right of way.,,,,Which action would have been most effective in preventing this crash?,Accident Prevention,"Checking mirrors and blind spots, using a turn signal, and changing lanes one at a time when clear.",,,
148,"Based on the visual evidence, what were the weather and road surface conditions at the time of the incident?",Weather & Light,"It was an overcast day with wet road surfaces, indicating recent or ongoing rain.",,,,What type of traffic environment is depicted in the video where the collision occurs?,Traffic Environment,An urban area near an intersection with traffic lights and multiple lanes of traffic.,,,,Which statement accurately describes the road configuration at the point of the accident?,Road Configuration,A multi-lane arterial road where the collision happens at an intersection.,,,,What is the specific type of collision that occurs in the video?,Accident Type,"A T-bone (or side-impact) collision, where the front of the dashcam car strikes the side of the turning SUV.",,,,What was the primary and most direct cause of this accident?,Accident Cause,"The traffic light for the dashcam vehicle was red, and it ran the red light, causing the crash.",,,,How could this collision most effectively have been prevented by the drivers involved?,Accident Prevention,Both vehicles should have stopped and waited for the traffic light further down the road to turn green.,,,
150,"Based on the visual evidence, what are the prevailing weather and light conditions?",,"A) A clear, sunny day with a low sun angle causing potential glare for drivers.",,,,Which of the following best describes the traffic environment where the incident takes place?,,A) A multi-lane urban thoroughfare with high-rise buildings and snow piled on the roadsides.,,,,What is the configuration of the road at the location of the collision?,,"A) A wide, multi-lane road with dashed lines separating lanes of traffic moving in the same direction.",,,,What type of accident occurs in the video?,,A) A sideswipe collision caused by an improper lane change.,,,,What is the primary and most direct cause of this collision?,,"A) The trolleybus on the right initiated an abrupt, unsignaled lane change without a safe gap.",,,,What action by the driver of the trolleybus would have most effectively prevented this accident?,,"A) Checking mirrors and blind spots, using the turn signal, and ensuring a safe gap before initiating the lane change.",,,
156,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with good visibility and a dry road surface.,,,,Which of the following best describes the immediate environment where the crash happened?,Traffic Environment,A sububan area with construction site on one side,,,,What is the configuration of the road shown in the video?,Road Configuration,A two-directional straight road with high trucks on the road.,,,,What is the direct type of collision that occurs at the end of the video?,Accident Type,A rear-end collision between the ego-car and the front black car.,,,,What caused the  incident?,Accident Cause,The ego-car performed a dangerous lane change without knowing the lane ahead.,,,,Which of the following actions would have most likely prevented this accident?,Accident Prevention,Completing the overtake and merging back safely with adequate space ahead of the truck.,,,
166,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It was a clear, sunny day with good visibility and a dry road surface.",,,,Which of the following best describes the traffic environment where the incident took place?,Traffic Environment,"A suburban arterial road with multiple lanes, low residential properties",,,,What's the road configuration when crash happened,Road Configuration,"A highway bend with a secondary road exit on the right, which is quite crowded and has low traffic on the main road. There is a railway bridge above.",,,,What is the most accurate classification of this traffic incident?,Accident Type,A severe haed-on collison.,,,,"What was the primary, initiating cause of this hazardous situation?",Accident Cause,"The opposite, dark SUV was too fast and outof control",,,,"To avoid such accident, what should one of the drivers do?",Accident Prevention,"The SUV should slow down in bend area, ensure the vehicle is in good condition before driving",,,
167,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"Dusk/dawn with good visibility and a dry road surface."",",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane highway in suburban area,,,,What is the configuration of the road where the incident occurs?,Road Configuration,"It is a straight, one-way highway with at least three marked lanes with moderate traffic flow and a solid barrier on the left side.",,,,What type of accident is about to occur in the video?,Accident Type,A serial accident consists of a T-bone collision by the car that lost control after committing a rear-end collision.,,,,What are the primary contributing factors that led to this collision?,Accident Cause,The silver sedan changed lanes so fast and failed to brake afterward,,,,What would have been the most crucial action to prevent this accident?,Accident Prevention,The sedan should brake when changing lanes,,,
171,"Based on the video, what are the prevailing weather and light conditions at the time of the accident?",Weather & Light,"Daytime, overcast, with a wet road surface.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,An urban area with multi-story buildings and trees lining the road.,,,,What is the configuration of the road where the accident occurs?,Road Configuration,"A multi-lane, two-way road without a physical median barrier.",,,,How can the accident shown in the video be classified?,Accident Type,"A loss-of-control accident where an oncoming vehicle crossed into the ego-vehicle's lane, resulting in a collision.",,,,What was the most direct cause of this accident?,Accident Cause,"The driver of the oncoming white car lost control on the wet road surface, likely due to speed inappropriate for the conditions.",,,,Which of the following actions by a driver could have most directly prevented this collision?,Accident Prevention,The driver of the white car adjusting their speed and steering inputs to account for the slippery road surface.,,,
177,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Clear, sunny skies during daytime.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,"An urban road with dense, flowing traffic.",,,,What is the configuration of the road on which the POV vehicle is traveling?,Road Configuration,A straight multi-lane mian road with clearly marked lanes.,,,,What type of collision occurs in the video?,Accident Type,A rear-end collision where the POV car hits the vehicle ahead.,,,,What was the primary contributing factor that led to this collision?,Accident Cause,The POV driver was tailgating and did not maintain a safe following distance.,,,,What is the most critical action could have taken to prevent this accident?,Accident Prevention,POV driver increases the following distance to allow for more reaction time.,,,
185,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A busy suburban area with multiple lanes and commercial billboards.,,,,What is the configuration of the road where the accident took place?,Road Configuration,A signalized multi-lane T-junction.,,,,What type of collision occurred in the video?,Accident Type,A head-on collision between the front of both vehicles.,,,,What was the primary and direct cause of this accident?,Accident Cause,The sedan was speeding through the intersection and did not keep safe distance.,,,,Which of the following actions would have most effectively prevented this collision?,Accident Prevention,The sedan slows down when approaching intersection.,,,
195,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane highway with moderate traffic flow.,,,,What is the configuration of the road where the incident takes place?,Road Configuration,A two-way road separated by a physical median.,,,,How would you classify the type of accident shown in the video?,Accident Type,A sideswipe/angle collision initiated by an abrupt lane change.,,,,What was the primary and direct cause of the collision?,Accident Cause,The silver car executed an abrupt and unsignaled lane change directly into the path of the dashcam vehicle.,,,,What is the most critical action that could have prevented this collision?,Accident Prevention,"The driver of the silver vehicle should have checked mirrors and blind spots, signaled, and then moved over safely.",,,
198,"Based on the visual evidence, what are the weather and road conditions at the time of the incident?",Weather & Light,Snowy day with overcast skies and reduced lighting.,,,,In what type of traffic environment does this incident occur?,Traffic Environment,An urban area with multiple vehicles and buildings.,,,,How can the road configuration at the accident scene be best described?,Road Configuration,"A wide, multi-lane intersection or open area with unclear or absent lane markings.",,,,Which statement accurately describes the type of collision that occurs?,Accident Type,A rear-end collision by the reversing front car and the ego-car,,,,What was the primary and direct cause of this accident?,Accident Cause,The front minivan tried to reverse when it saw the bus in the main road rushing towards.,,,,Which of the following actions would have most directly prevented this collision?,Accident Prevention,The black minivan driver should have observed before entering the intersection,,,
205,"Based on the video, what were the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"Daytime with clear skies and good visibility, with bright ambient light.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane road lined with trees.,,,,What is the configuration of the road where the collision takes place?,Road Configuration,"A straight, multi-lane paved road.",,,,What type of collision occurs in the video?,Accident Type,A rear-end collision.,,,,What was the most direct cause of this rear-end chain collision?,Accident Cause,"The vehicle behind the recording vehicle failed to maintain a safe following distance and rear-ended it, pushing it into the red car ahead in a chain collision.",,,,Which of the following actions would have most effectively prevented this accident?,Accident Prevention,The vehicle behind should have maintained a sufficient safe following distance from the recording vehicle.,,,
215,"Based on the video, what are the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"Dusk with rain, resulting in wet, reflective road surfaces and reduced visibility",,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,A multi-lane urban expressway or arterial road with streetlights and moderate traffic,,,,What is the configuration of the road while crashing?,Road Configuration,"A straight multi-lane, two-way expressway in moderate traffic flow, with several entrances on the right side. A yellow solid line distinguishes the fast lane on the left side.",,,,How can the collision between the silver SUV and the dark sedan be most accurately classified?,Accident Type,"A rear-end collision, where the SUV was struck by the sedan.",,,,What was the primary initiating cause of this accident?,Accident Cause,The silver SUV was incorrectly slowed down in the middle of the expressway to try to change lanes or exit,,,,What single action by one of the drivers would have been most effective in preventing this crash?,Accident Prevention,he driver of the silver SUV should have stopped or slowed down significantly to check for and yield to mainline traffic before pulling off.,,,
234,"Based on the visual evidence in the video, what were the prevailing weather and light conditions at the time of the incident?",Weather & Light,"It was daytime with clear, sunny conditions and good visibility.",,,,Which of the following best describes the traffic environment where the collision takes place?,Traffic Environment,An urban street with residential buildings and infrastructure nearby.,,,,What is the configuration of the road at the location of the accident?,Road Configuration,A samll T-junction on the right side with plenty of parked cars on the edge of the road,,,,How can the collision shown in the video be most accurately classified?,Accident Type,"A T-bone accident occurred when the yellow car, pulling into a traffic lane, was struck on its side.",,,,What was the primary and most direct cause of this accident?,Accident Cause,The yellow car entered a lane of moving traffic from the roadside without yielding the right-of-way.,,,,What is the most critical action the driver of the yellow car should have taken to prevent this collision?,Accident Prevention,The yellow car waits for a safe gap in traffic before entering the lane.,,,
241,"Based on the video, what were the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,Overcast sky during daytime with a dry road surface.,,,,Which statement accurately describes the traffic environment just moments before the collision?,Traffic Environment,Heavy traffic with a significant speed difference between the striking vehicle's lane and the slower adjacent lanes.,,,,What is the configuration of the road at the location of the accident?,Road Configuration,"A multi-lane urban arterial road, with the collision occurring away from any marked crosswalk.",,,,How can the type of collision shown in the video be best classified?,Accident Type,A pedestrian 'dart-out' collision where the pedestrian was visually obscured by other vehicles.,,,,"What was the primary, direct cause that led to this collision?",Accident Cause,The pedestrian suddenly entered a lane of moving traffic from behind a slow-moving vehicle that blocked the driver's view.,,,,"From the perspective of a driver, what is a key defensive driving technique to prevent this specific type of accident?",Accident Prevention,Reducing speed and covering the brake when passing stopped or slow-moving traffic in an adjacent lane.,,,
243,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Dusk or nighttime with wet roads and accumulated snow on the roadsides.,,,,Which of the following best describes the traffic environment where the accident takes place?,Traffic Environment,A signal-controlled intersection on a multi-lane urban road.,,,,What is the physical layout of the location where the collision occurs?,Road Configuration,A four-way intersection where two roads of equal size cross.,,,,"Based on the way the two vehicles collided, how is this accident best classified?",Accident Type,"A side-impact collision, often referred to as a 'T-bone'",,,,What was the primary and direct cause of this collision?,Accident Cause,The sedan in the same way performed a rash turn while vision was obstructed,,,,What single action by the at-fault driver would have most directly and effectively prevented this accident?,Accident Prevention,The ahead vehicle turns after carfully observing oncoming traffic,,,
246,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with overcast skies and a wet road surface.,,,,Which of the following best describes the traffic environment where the accident took place?,Traffic Environment,"An urban area main road,with low-rise residential buildings on the roadside",,,,What is the configuration of the road where the collision happened?,Road Configuration,"A multi-lane arterial road with a signal-controlled intersection ,and with moderate traffic, including other cars and a bus.",,,,How can the type of accident shown in the video be classified?,Accident Type,"A T-bone collision, where the front of the straight-traveling ego vehicle struck the side of the left-turning van.",,,,What was the primary cause of this accident?,Accident Cause,The van driver failed to yield the right-of-way to oncoming traffic while making a left turn.,,,,What was the most critical action of the participants could have taken to prevent this collision?,Accident Prevention,The turning van waits for the oncoming straight traffic to clear the intersection before initiating the left turn.,,,
249,"Based on the video, what were the prevailing weather and road surface conditions?",Weather & Light,"A. Daytime, overcast, with a wet and reflective road surface.",,,,Which of the following best describes the traffic environment where the incident occurred?,Traffic Environment,C. A narrow residential street with cars parked along the side.,,,,What is the configuration of the road shown in the video?,Road Configuration,A T-intersection in a residential area with parked cars along the sides.,,,,What type of collision occurs in the video?,Accident Type,C. An angle collision caused by a parked car pulling out into the path of the ego vehicle.,,,,What was the primary human error that led to this collision?,Accident Cause,The driver failed to slow down and yield when turning at the T-intersection.,,,,What critical action should the driver of the red car have taken to prevent this accident?,Accident Prevention,Slowing down and checking for oncoming traffic before turning at the T-intersection.,,,
250,"Based on the visual information in the video, what were the prevailing weather and lighting conditions?",Weather & Light,Clear daytime conditions with good visibility and dry roads.,,,,Which of the following best describes the traffic environment at the moment of the collision?,Traffic Environment,A complicated suburban bumpy road with construction sites and low-rise buildings. ,,,,What is the configuration of the road segment where the incident occurs?,Road Configuration,"Traffic lights at intersections with disorderly traffic conditions, no clear lane markings",,,,What type of collision is shown in the video?,Accident Type,A head-on collision between ego-car and a car performing a lane-changing maneuver.,,,,What was the primary and most direct cause of this accident?,Accident Cause,The oncoming SUV lost concentration and failed to noticing oncoming vehicles when turning,,,,What action would have most effectively prevented this collision?,Accident Prevention,The oncoming minivan waits for a safe and adequate gap in traffic before attempting to change lanes.,,,
255,What are the prevailing weather and road conditions shown in the video?,Weather & Light,"Snowy daytime with overcast skies, and a wet road surface, and reduced lighting,",,,,Which description accurately represents the traffic environment visible in the video?,Traffic Environment,"A suburban road in a residential area, with trees and houses nalongside the road.",,,,What is the configuration of the road on which the accident occurs?,Road Configuration,"A two-way straight, narrow road with vehicle lanes running parallel to tram tracks.mixed vehicle traffic, and a pedestrian crossing.",,,,Which term best classifies the type of collision that takes place?,Accident Type,ear-end collision,,,,What is the primary contributing factor to this collision?,Accident Cause,The ego-vehicle following the truck too closely for the snowy and wet road conditions.,,,,Which of the following actions would have been most effective in preventing this accident?,Accident Prevention,The ego car increases the following distance from the blue truck to account for the slippery road.,,,
258,"Based on the visual evidence in the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with an overcast sky and a dry road surface.,,,,Which of the following best describes the traffic environment where the accident occurs?,Traffic Environment,Moderate traffic on a multi-lane main road with vehicles parked on the right shoulder.,,,,What is the configuration of the road section where the black car loses control?,Road Configuration,A straight and relatively flat multi-lane road.,,,,How can the accident involving the black sedan be best classified?,Accident Type,A rear-end collision where the ego vehicle struck the vehicle ahead due to the front car's sudden braking.,,,,What is the most direct and observable cause for the black sedan's loss of control?,Accident Cause,"The vehicle ahead braked suddenly, and the ego vehicle failed to maintain a safe following distance, resulting in insufficient braking distance.",,,,Which action by the driver of the black sedan would have been the most effective measure to prevent this accident?,Accident Prevention,Maintaining a greater following distance from the vehicle ahead to allow sufficient braking distance.,,,
264,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the daytime under gloomy skies with decresed light.,,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,Suburban or rural area with tress and decentralized buildings scattered far away.,,,,What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way curved road in moderate traffic, with at least two lanes in each direction, vehicles merging from the right.",,,,How can the type of accident seen in the video be most accurately classified?,Accident Type,A series of side-impact accidents involving four vehicles,,,,What was the primary contributing factor from Participant B (the green MPV) that led to the crash?,Accident Cause,The light-colored car abruptly entered the main lanes of traffic from the shoulder without yielding.,,,,What critical action could have prevented this collision?,Accident Prevention,The maneuvering car waits the shoulder until the main road was clear of traffic before attempting the maneuver.,,,
267,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during the daytime under overcast skies with good visibility.,,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,"An urban street through residential zone, with vehicles parked along the right side, narrowing the available road space.",,,,What is the configuration of the road where the accident takes place?,Road Configuration,"A two-way road with at least two lanes in each direction, separated by a solid white line.",,,,How can the type of accident seen in the video be most accurately classified?,Accident Type,A loss-of-control incident where a moving vehicle crosses into the opposing lane and strikes merging SUV.,,,,"Based on the silver car's sudden and sharp turn, what is the most likely direct cause of the accident?",Accident Cause,"A catastrophic mechanical failure (e.g., tire blowout, steering linkage failure) or a sudden medical emergency affecting the driver.",,,,"Considering the most probable root cause of this type of abrupt loss of control, what is a primary measure for prevention?",Accident Prevention,"Conducting regular vehicle maintenance with a focus on tires, suspension, and steering components.",,,
276,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,"Daylight with a cloudy sky, good visibility, and a dry road surface.",,,,Which of the following best describes the traffic environment shown in the video?,Traffic Environment,A multi-lane urban thoroughfare with few tall buildings scatter around.,,,,What is the physical layout of the road where the incident takes place?,Road Configuration,"A straight, multi-lane road divided by trams, with moderate, fast-moving traffic and vehicles parked alongside.",,,,What is the most accurate classification of this traffic accident?,Accident Type,"A rear-end collision where the red car was struck from behind, causing it to swerve.",,,,What was the most direct cause of the red car losing control and crashing?,Accident Cause,The driver of the ego car was speeding too high to maintain control.,,,,Which action by the driver of the red car would have been the most effective way to prevent this crash?,Accident Prevention,The POV car significantly reduces speed to a safe and controllable level before attempting to steer towards the parking area.,,,
278,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,lear daytime conditions with good visibility and a dry road surface.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban or town road with commercial buildings and parallel parking along the right side.,,,,What is the configuration of the road just before the accident?,Road Configuration,"It was a two-way road with no land markings, with moderate traffic",,,,How can the type of collision in the video be most accurately described?,Accident Type,A sideswipe collision where both vehicles were traveling parallel and one drifted into the other's lane.,,,,What was the primary contributing factor from both drivers that led to this accident?,Accident Cause,"he car driver failed to check for traffic when pulling out, and the motorcyclist was unsafely overtaking at high speed from the right shoulder.",,,,Which combination of actions could have most effectively prevented this accident?,Accident Prevention,"The car driver should have thoroughly checked their mirror and blind spot before merging, and the motorcyclist should have avoided overtaking on the right shoulder.",,,
